ID_REF,GSM494556,GSM494557,GSM494558,GSM494559,GSM494560,GSM494561,GSM494562,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494570,GSM494571,GSM494572,GSM494573,GSM494574,GSM494575,GSM494576,GSM494577,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494587,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494595,GSM494596,GSM494597,GSM494598,GSM494599,GSM494600,GSM494601,GSM494602,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494611,GSM494612,GSM494613,GSM494614,GSM494615,GSM494616,GSM494617,GSM494618,GSM494619,GSM494620,GSM494621,GSM494622,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494630,GSM494631,GSM494632,GSM494633,GSM494634,GSM494635,GSM494636,GSM494637,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494647,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494655,GSM494656,GSM494657,GSM494658,GSM494659,GSM494660,GSM494661,GSM494662,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494671,GSM494672,GSM494673,GSM494674,GSM494675,Mean_Expression
1553588_at,14.7988,14.7988,14.7563,14.5893,14.5893,14.6815,14.564,14.3261,14.5893,14.6542,14.7988,14.431,14.6542,14.4446,14.6182,14.7168,14.7563,14.5238,14.4593,14.7168,14.5437,14.5893,14.6542,14.473,14.6542,14.564,14.7563,14.6542,14.4896,14.8903,14.8903,14.5238,14.4593,14.7988,14.5437,14.6815,14.6815,14.4896,14.4446,14.6815,14.6542,14.4446,14.4593,14.4896,14.5437,14.7988,14.3867,14.5893,14.5238,14.564,14.4593,14.3758,14.7168,14.7168,14.4193,14.4075,14.7988,14.7563,14.8903,14.7563,14.6182,14.6542,14.7988,14.6182,14.564,14.6815,14.5437,14.5238,14.6542,14.3497,14.5238,14.4193,14.5437,14.4896,14.5893,14.6182,14.6182,14.6542,14.4593,14.5238,14.6542,14.6182,14.4593,14.5074,14.4075,14.4896,14.431,14.564,14.6182,14.5238,14.564,14.473,14.3497,14.4896,14.5238,14.6542,14.3867,14.4896,14.3758,14.5893,14.5074,14.5437,14.5437,14.5893,14.6182,14.5893,14.5074,14.6182,14.6182,14.564,14.6542,14.3867,14.4075,14.564,14.4193,14.431,14.6182,14.6182,14.6182,14.564,14.577310833333334
204892_x_at,14.3183,14.2585,14.564,14.5437,14.5238,14.7988,14.3867,14.8903,14.6182,14.7168,14.6182,14.4593,14.4075,14.4593,14.6542,14.3344,14.1772,14.473,14.5437,14.7988,14.6182,14.4593,14.6182,14.8349,14.7168,14.6815,14.5893,14.6182,14.4446,14.6815,14.7563,14.6182,14.7988,14.564,14.3758,14.3758,14.7563,14.3962,14.3415,14.5437,13.7251,14.3261,14.5437,14.7168,14.4896,14.564,14.4075,14.2745,14.5074,14.6542,14.564,14.5437,14.7563,14.7563,14.431,14.6182,14.7168,14.564,14.564,14.8349,14.564,14.564,14.4896,14.6542,14.7168,14.8903,14.6542,14.8349,14.7563,14.5074,14.5074,14.4446,14.6182,14.4593,14.6815,14.6542,14.6542,14.7168,14.6815,14.7168,14.6182,14.564,14.473,14.6542,14.6182,14.6815,14.4593,14.5437,14.6542,14.5437,14.6815,14.5074,14.6815,14.6542,14.5074,14.564,14.6182,14.5437,14.1628,14.6815,14.3415,14.4593,14.4896,14.6815,14.6542,14.6182,14.3672,14.5074,14.5437,14.6542,14.6182,14.6815,14.5437,14.5893,14.5437,14.6542,14.7988,14.7168,14.6815,14.473,14.572398333333334
AFFX-hum_alu_at,14.564,14.6182,14.8903,14.4193,14.3672,14.6542,14.4075,14.0951,14.5238,14.8903,14.8349,14.5893,14.8903,14.5437,14.4446,14.8903,14.8349,14.4896,13.9937,14.1628,14.564,14.5074,14.8903,14.8903,14.8903,14.3344,14.2364,14.7988,14.564,14.7168,14.3344,14.7168,14.2661,14.8903,14.8903,14.8903,14.2147,14.3672,14.7988,14.4193,14.8903,14.7988,14.222,14.2822,14.6182,14.4896,14.2585,14.6182,14.3758,14.6182,14.3962,14.3069,14.4593,14.3672,14.2914,14.148,14.0595,14.8349,14.6542,14.8903,14.7168,14.7988,14.8903,14.3069,14.3867,14.564,14.8903,14.359,14.4896,14.8903,14.7563,14.6815,14.8903,14.8349,14.359,14.6815,14.6815,14.6182,14.2364,14.564,14.6815,14.7168,14.5074,14.6182,14.7168,14.2988,14.3183,14.6182,14.2585,14.5074,14.5074,14.3758,14.3261,14.7168,14.8903,14.8903,14.2822,14.2298,14.8903,14.4075,14.7988,14.8903,14.1331,14.3069,14.7168,14.6542,14.5437,14.7563,14.7168,14.5238,14.7168,14.564,14.3069,14.3867,14.3415,14.1408,14.1772,14.4193,14.564,14.6542,14.554428333333332
224372_at,14.8349,14.6815,14.7988,14.6182,14.6542,14.5437,14.5074,14.7168,14.473,14.6815,14.7563,14.4193,14.6182,14.431,14.5238,14.7563,14.6815,14.5074,14.3497,14.473,14.5238,14.564,14.564,14.6182,14.4446,14.6182,14.8903,14.6815,14.5238,14.5893,14.6542,14.2988,14.5437,14.8349,14.5238,14.7563,14.7988,14.5893,14.5238,14.7563,14.5893,14.6182,14.5074,14.6815,14.564,14.7563,14.6182,14.564,14.5437,14.5238,14.5238,14.473,14.8349,14.7988,14.564,14.5893,14.7563,14.6182,14.8349,14.6815,14.6542,14.6182,14.6815,14.5238,14.4593,14.6182,14.4896,14.564,14.564,14.2585,14.564,14.4075,14.564,14.3758,14.4075,14.5238,14.5238,14.5074,14.3415,14.1844,14.5074,14.4075,14.359,14.4593,14.1772,14.4593,14.473,14.3497,14.359,14.4593,14.431,14.25,14.431,14.4075,14.4193,14.5893,14.5238,14.564,14.2745,14.5238,14.4896,14.431,14.4446,14.6542,14.4593,14.6815,14.5893,14.5893,14.6542,14.3758,14.6815,14.6542,14.5893,14.6542,14.5893,14.3867,14.564,14.3344,14.4193,14.4075,14.548919166666668
201492_s_at,14.2075,14.3344,14.5437,14.564,14.4193,14.5893,14.5893,14.8349,14.564,14.7563,14.5074,14.5437,14.431,14.4075,14.5893,14.1844,14.4193,14.3758,14.4446,14.2988,14.6542,14.3672,14.4446,14.7168,14.564,14.5893,14.6182,14.5437,14.4593,14.8349,14.7168,14.7988,14.8349,14.4075,14.2988,14.3415,14.5893,14.3415,14.4593,14.5074,14.5074,14.3962,14.4193,14.4446,14.4193,14.4593,14.5437,14.3261,14.4446,14.6815,14.5893,14.5238,14.564,14.6815,14.4896,14.6815,14.3415,14.473,14.4593,14.4593,14.473,14.5074,14.3758,14.5893,14.6542,14.6542,14.564,14.5074,14.5238,14.6815,14.4593,14.3962,14.5238,14.473,14.6542,14.564,14.5893,14.5893,14.5437,14.6182,14.564,14.5238,14.431,14.5893,14.5893,14.564,14.3758,14.5893,14.7168,14.4896,14.4896,14.3962,14.7988,14.5893,14.3261,14.3962,14.5074,14.4446,14.2364,14.6542,14.3069,14.5238,14.431,14.4896,14.5893,14.5074,14.3497,14.4593,14.5893,14.6815,14.5437,14.4896,14.4446,14.4593,14.3672,14.5074,14.7168,14.564,14.6542,14.3183,14.515029166666666
211296_x_at,14.3672,14.3867,14.3344,14.4896,14.3867,14.1134,14.473,14.0768,14.4075,14.7988,14.5893,14.3867,14.4896,14.473,14.25,14.1694,14.25,14.3415,14.6182,14.8903,14.3867,14.431,14.4075,14.6815,14.5893,14.3962,14.5238,14.7168,14.6182,14.7988,14.3415,14.5437,14.3962,14.0702,14.4075,14.4075,14.5238,14.359,14.3758,14.564,14.148,14.5238,14.431,14.5238,14.2661,14.6815,14.3497,14.5074,14.431,14.1993,14.148,14.4193,14.5437,14.2914,14.4446,14.6542,14.431,14.6542,14.5074,14.7988,14.4593,14.4593,14.7563,14.564,14.6182,14.4075,14.4593,14.5893,14.4593,14.7168,14.5893,14.5437,14.5893,14.5437,14.3672,14.431,14.5437,14.2075,14.564,14.6815,14.5893,14.6815,14.4075,14.6815,14.6815,14.6542,14.4446,14.7168,14.564,14.6182,14.6182,14.4593,14.6542,14.564,14.7988,14.473,14.5437,14.5893,14.4446,14.6182,14.4075,14.4193,14.3962,14.6182,14.5437,14.564,14.4896,14.6815,14.4593,14.1993,14.3758,14.6182,14.5238,14.5074,14.4896,14.6815,14.6542,14.6542,14.5893,14.3962,14.495055833333334
1553538_s_at,14.7168,14.5437,14.7168,14.3415,14.4446,14.3415,14.7563,13.9179,14.2585,14.8349,14.8903,14.564,14.5437,14.4896,14.2364,14.8349,14.6542,13.9133,14.2988,14.8349,14.7563,14.5437,14.6815,14.7988,14.4593,14.1993,14.7168,14.564,14.5437,14.6542,14.7988,14.473,14.3069,14.7168,14.5893,14.8349,14.5074,14.3344,13.9772,14.8903,14.6182,14.473,14.2661,14.7563,14.3962,14.6542,14.7563,14.4193,14.3261,14.473,14.5074,14.5893,14.359,14.3962,14.2988,14.7563,14.5437,14.6815,14.7168,14.4075,14.5893,14.5893,14.7168,14.1844,14.242,14.2298,14.5238,14.1694,14.2745,14.564,14.6815,14.242,14.6542,14.2914,13.9363,14.5893,14.564,14.1271,14.5074,14.1134,14.3344,14.0422,14.4446,14.564,14.3183,14.4075,14.3672,13.9404,14.3183,14.5893,14.3497,14.564,14.1993,14.3867,14.473,14.6182,14.6542,14.3415,13.8446,14.4193,14.3497,14.0532,14.2661,14.3183,14.3415,14.4193,14.3344,14.25,14.25,14.431,14.4896,14.5893,14.359,14.5437,14.2364,14.1009,14.473,14.4446,14.3344,14.5238,14.449576666666667
1553570_x_at,14.6182,14.5893,14.6815,14.5238,14.5437,14.4896,14.6815,14.4593,14.2745,14.6182,14.7168,14.5238,14.473,14.4193,14.3758,14.564,14.6182,14.5437,14.5074,14.6815,14.4446,14.5238,14.3962,14.3962,14.3672,14.4896,14.8349,14.5074,14.5074,14.7563,14.6815,14.1628,14.3672,14.6182,14.5074,14.7988,14.7168,14.5074,14.2822,14.7988,14.564,14.564,14.4896,14.564,14.473,14.6182,14.473,14.5238,14.359,14.4446,14.4193,14.3261,14.6815,14.5238,14.5437,14.431,14.564,14.5893,14.7988,14.6542,14.4896,14.5437,14.5893,14.359,14.2822,14.3497,14.3962,14.3344,14.3672,14.1548,14.473,14.2298,14.473,14.2988,14.3183,14.3183,14.359,14.3415,14.3962,14.242,14.2822,14.1916,14.222,14.1271,13.9494,14.3183,14.4193,13.9837,14.1134,14.3261,14.3069,14.2585,14.3069,14.359,14.3344,14.3758,14.431,14.25,14.148,14.3415,14.359,14.242,14.4075,14.5437,14.473,14.3867,14.359,14.3415,14.431,14.3069,14.5238,14.3261,14.3867,14.4896,14.5074,14.4075,14.4896,14.25,14.4075,14.4446,14.438474166666667
200801_x_at,14.3344,14.473,14.5238,14.431,14.564,14.431,14.5238,14.564,14.5437,14.3672,14.5437,14.3069,14.3962,14.359,14.4896,14.3261,14.0532,14.6182,14.3415,14.3758,14.1772,14.4896,14.3758,14.6542,14.6182,14.3415,14.3758,14.4193,14.3867,14.5238,13.8682,14.3069,14.4075,14.6542,14.4896,14.5437,14.4593,14.4593,14.4193,14.5238,14.2364,14.5437,14.4446,14.25,14.5893,14.5893,14.25,14.4446,14.3672,14.2988,14.1772,14.4446,14.4896,14.1271,14.4075,14.4593,14.0479,14.4896,14.5893,14.7168,14.3672,14.4446,14.6182,14.5437,14.5893,14.5893,14.6815,14.7988,14.5893,14.2364,14.2914,14.431,14.3415,14.4075,14.6182,14.3962,14.3497,14.3672,14.2298,14.5893,14.3758,14.4446,14.2585,14.2988,14.4193,14.3069,14.4075,14.3672,14.2745,14.3183,14.2075,14.2914,14.3344,14.6182,14.4593,14.5437,14.3672,14.4193,14.2988,14.4446,14.4193,14.3183,14.3261,14.5238,14.3962,14.359,14.4193,14.564,14.3069,14.3183,14.2822,14.5437,14.3497,14.3962,14.5238,14.3962,14.3867,14.4593,14.3261,14.5437,14.417645833333333
201429_s_at,14.1993,14.3069,14.3415,14.473,14.3183,14.4075,14.3758,14.5238,14.4446,14.4193,14.3758,14.4446,14.1993,14.242,14.5074,14.4193,14.4896,14.4075,14.3672,14.2745,14.5074,14.2364,14.359,14.5437,14.5238,14.3497,14.3867,14.3183,14.2988,14.4193,14.564,14.5074,14.6182,14.4193,14.3415,14.2364,14.3261,14.2745,14.3672,14.2988,14.4193,14.3183,14.1844,14.4075,14.3672,14.3069,14.3344,14.1628,14.3069,14.4896,14.222,14.3867,14.4075,14.3497,14.148,14.3497,14.2745,14.3758,14.4446,14.564,14.4075,14.3497,14.3069,14.473,14.5437,14.5074,14.431,14.2364,14.4193,14.4593,14.3415,14.2745,14.359,14.359,14.564,14.4896,14.431,14.5437,14.473,14.5437,14.473,14.5437,14.3962,14.5437,14.564,14.2822,14.359,14.4896,14.5437,14.3867,14.4593,14.3069,14.5238,14.5437,14.242,14.3261,14.3344,14.3069,14.3415,14.5074,14.2822,14.4446,14.3069,14.3497,14.5238,14.473,14.2822,14.4075,14.4193,14.4075,14.431,14.3069,14.2745,14.3261,14.1134,14.3415,14.3261,14.4075,14.5437,14.3344,14.387852500000001
