ID_REF,GSM494556,GSM494557,GSM494558,GSM494559,GSM494560,GSM494561,GSM494562,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494570,GSM494571,GSM494572,GSM494573,GSM494574,GSM494575,GSM494576,GSM494577,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494587,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494595,GSM494596,GSM494597,GSM494598,GSM494599,GSM494600,GSM494601,GSM494602,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494611,GSM494612,GSM494613,GSM494614,GSM494615,GSM494616,GSM494617,GSM494618,GSM494619,GSM494620,GSM494621,GSM494622,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494630,GSM494631,GSM494632,GSM494633,GSM494634,GSM494635,GSM494636,GSM494637,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494647,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494655,GSM494656,GSM494657,GSM494658,GSM494659,GSM494660,GSM494661,GSM494662,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494671,GSM494672,GSM494673,GSM494674,GSM494675,Mean_Expression,Variance
213831_at,4.53183,4.71049,12.046,5.12379,5.35633,5.57597,5.11885,10.9418,5.03575,5.12624,4.80462,4.67473,12.4242,12.4756,10.4714,4.46999,5.40491,12.2601,12.5707,12.3865,10.3966,12.4263,13.6868,12.8586,12.9651,4.76064,4.47088,10.8581,5.22531,4.96326,8.80778,6.32955,12.7809,11.1767,10.9573,10.19,12.3053,11.6955,6.7968,11.2031,9.73318,5.30639,4.70486,11.2526,13.1324,5.30746,5.06214,12.4122,5.10882,5.33914,5.02282,4.95722,5.28087,5.61078,12.3462,4.87276,12.9684,11.4553,11.3521,11.639,4.83909,4.4587,11.8883,5.56347,5.39022,5.36977,5.3408,12.2791,5.14959,4.72599,5.06103,4.63284,12.3485,11.9587,11.8716,5.21406,5.59869,12.4034,12.4216,11.304,12.314,12.3773,13.1044,12.1846,12.5707,4.68701,4.73679,10.9349,5.11316,5.58492,11.7044,5.16494,12.1925,12.198,12.046,11.0059,11.4544,11.559,6.37575,11.6663,12.9043,12.53,5.1626,10.8857,12.2221,5.73384,4.9763,11.837,5.43951,5.369,4.6485,4.55319,4.61905,5.23865,10.7238,4.693,12.6482,11.3749,11.859,13.2673,8.672577666666665,11.964038735382745
205725_at,7.18472,8.34536,9.88676,5.64752,5.34755,7.41458,5.03016,5.15515,7.3064,10.6506,11.9418,8.41656,10.3686,14.1628,10.5791,12.2201,4.94077,8.44263,10.0938,9.23487,5.07531,4.54248,13.1781,5.10173,8.66201,10.163,5.84324,7.71407,11.7044,11.3411,6.69818,6.47329,11.6955,9.2091,11.3642,8.92252,12.5998,12.4622,13.5735,5.62787,5.75298,4.5526,6.04518,12.4578,13.4746,11.8499,7.05114,9.3072,9.97171,13.0529,12.5707,14.1134,11.6043,11.2623,9.56108,8.4526,9.26924,12.3574,12.0442,5.78844,13.9626,14.0892,13.6671,11.2631,14.0479,12.7258,11.1115,8.71362,11.374,12.0354,6.56616,12.7838,4.73818,14.0264,13.8877,13.6908,13.4785,13.8719,14.2147,13.8558,13.9091,13.9772,13.8921,13.2836,12.872,13.413,13.8023,14.0646,13.9005,13.4086,12.8294,13.6256,12.9723,13.8719,13.4254,13.252,14.1993,13.6218,14.0646,13.3654,13.113,8.3099,11.4646,12.804,14.2661,13.6553,11.5283,8.26609,12.4286,12.5348,13.6719,13.9404,12.848,13.3566,10.4587,13.1208,13.6596,14.0264,14.2298,4.19357,10.938270166666666,9.438914141762998
232578_at,13.0529,6.03422,4.85698,6.52566,5.05921,9.64518,4.04501,3.83223,9.96367,3.51263,3.98101,9.07505,9.55467,11.3927,6.87519,6.83183,4.20956,5.84419,3.90343,3.74632,6.15452,3.34049,8.66022,3.49652,6.72472,5.69766,13.4484,3.66986,7.49561,5.31893,3.79074,4.01208,4.54377,5.7168,3.89333,3.73688,7.92437,5.61568,6.53714,6.289,3.59368,3.53427,3.97983,3.2816,3.48173,4.07709,5.70203,8.95057,8.65691,10.9815,11.8661,8.8925,7.91228,5.81451,3.33672,6.62721,7.66185,7.80624,4.1918,6.88221,11.6774,12.0073,10.3107,7.44307,10.4069,9.72223,9.72986,9.15766,9.98728,6.81696,11.7441,10.7273,10.6235,10.717,10.2217,10.3715,11.6414,10.2678,10.7463,10.4244,11.1272,10.4562,10.9731,10.6002,9.51803,11.5465,11.639,8.92602,11.1297,10.9446,11.001,11.6715,9.40055,9.99531,10.9028,10.5243,11.2614,11.9464,6.69758,11.4553,9.53454,3.5059,9.95441,11.722,10.8446,11.6055,11.3449,9.6023,11.3985,11.1786,11.616,12.3888,10.8407,11.7031,10.5705,12.1906,11.4308,11.4462,12.0627,3.4902,8.334424083333333,9.308625798184025
204712_at,4.38939,8.29723,7.87654,9.61843,8.86328,9.5867,3.9512,4.12757,7.48854,4.46053,8.22151,10.5342,10.5248,12.0337,8.56093,10.1642,12.8217,5.1167,3.9493,4.07258,12.0073,3.99687,9.52058,4.65177,12.1638,7.60228,8.11376,4.04417,9.71373,5.95164,4.06858,5.18953,6.91505,10.004,4.39533,3.5368,8.53898,7.96519,9.51158,10.5742,4.0071,3.97,3.69947,7.82169,6.97467,8.17804,9.97103,10.3851,9.93817,11.675,11.5152,8.17683,7.26121,7.5162,4.17492,4.69168,4.3025,8.88521,5.60219,8.75766,12.2582,12.0023,11.4724,11.0292,11.7246,11.1503,10.6697,11.4821,10.8148,11.7636,11.7233,11.7587,12.0407,11.7733,11.3652,11.9169,12.5121,11.6251,11.8171,11.7182,12.3118,12.3939,11.7096,11.6786,12.0183,11.3335,11.7007,11.8661,11.5655,12.131,11.5623,12.4263,10.578,12.3264,10.9709,12.1328,11.294,11.1748,11.2307,11.6913,11.6006,4.40375,10.6778,11.5843,12.4648,11.7843,10.8653,11.5305,12.1559,11.6994,12.0006,10.7279,10.5539,10.3183,9.38711,10.8503,10.9342,11.5972,11.5326,3.66114,9.397268666666667,8.38858993740493
223678_s_at,9.75117,12.5601,6.64797,4.73096,7.13041,9.06089,10.4437,3.90875,8.98634,7.95253,7.24701,11.7364,11.1263,12.7258,10.9454,11.8341,13.0493,8.41694,6.67524,10.9356,7.45939,4.5202,10.3518,9.572,9.6739,9.59403,4.41627,4.5152,10.7965,10.4651,5.60528,13.8682,8.12394,8.27629,8.64821,5.54605,13.9995,13.8282,11.0417,11.8443,5.82679,8.7522,9.31022,9.07014,4.51259,9.09028,13.3524,10.3001,12.0304,13.8558,12.9369,12.4144,11.1644,12.0023,4.77768,13.9889,14.1548,13.3332,8.40414,7.58678,13.4896,13.9222,12.3245,8.29814,12.3287,11.1713,13.252,11.0031,11.8673,8.7756,13.677,12.611,12.5707,12.1887,11.6941,13.6433,13.9537,11.9958,14.0422,13.3524,13.303,12.1293,13.5414,13.7451,11.5947,13.8235,14.1408,11.3946,13.3967,13.4333,13.3779,14.2075,10.6345,13.209,13.9837,13.8361,13.8719,14.0951,10.8694,13.8023,12.7738,11.2385,14.0831,14.359,13.2295,13.348,12.0183,11.6182,13.5243,14.0951,13.3654,14.0892,13.2673,13.8964,13.1495,14.1772,14.1548,13.8023,14.0595,3.98516,11.180509083333334,8.375590577435286
206239_s_at,14.431,5.63856,12.5576,13.6671,10.7998,10.3728,7.81893,4.91266,13.1288,7.00155,12.7809,12.1003,6.36457,5.47887,8.85756,6.83076,9.20529,12.5487,5.30488,8.81298,11.033,5.7355,5.39422,6.71196,10.5254,13.4682,13.3699,9.96434,11.6572,14.564,13.1739,7.46866,10.7958,10.2768,6.18761,6.07533,12.0677,6.7591,7.04501,6.20289,13.9005,6.73924,7.68992,8.54025,8.61281,12.6961,11.8617,8.74275,5.20369,6.02086,9.99385,5.5749,13.7499,13.2253,7.45275,7.79331,7.86407,6.8006,5.95592,7.34977,5.04781,5.66352,5.04761,5.19389,7.03896,5.30562,7.95489,5.11415,5.9366,5.87404,5.16696,5.47135,5.08735,6.08608,5.56743,5.75839,5.71287,5.38664,4.90928,5.34006,5.68828,5.09366,5.98886,4.94838,5.387,5.75593,5.37869,5.79604,6.07183,5.72793,8.91691,4.96997,5.19974,5.11435,5.49923,5.81181,5.30562,10.1622,8.5001,5.7176,5.8802,10.0176,5.31696,5.369,5.39022,5.647,5.26443,5.37192,5.20846,5.76852,5.10119,5.16494,10.4427,5.28158,6.1916,5.17988,6.98704,5.03161,4.97301,5.226,7.544748416666667,8.009184258231926
209875_s_at,8.78064,11.9681,12.7319,10.5832,14.1009,9.64393,12.9764,14.0532,13.3524,13.8446,13.4212,10.3001,13.348,10.9075,13.1539,10.6697,9.85511,13.8964,13.8361,12.7675,13.4368,13.3566,10.2459,14.2075,12.9113,13.2601,11.8883,12.5656,12.9216,13.4289,11.6994,13.8646,14.242,13.0223,13.5537,12.2521,13.1976,13.1409,10.9587,13.7119,11.8809,13.7637,13.7812,13.0846,14.1993,13.9494,12.6171,13.073,13.2635,9.281,11.56,11.9021,10.004,11.2563,12.5043,12.9369,12.21,11.6345,12.2341,9.88878,4.90197,6.50502,6.93907,6.15642,7.8127,7.48277,9.60711,9.57794,8.53788,8.12044,8.40037,7.01541,9.07658,7.69965,6.27997,10.3005,6.63881,9.12073,7.82967,7.89094,6.40467,6.17879,8.21297,7.83159,8.39083,10.7387,6.99697,6.62486,7.29837,6.04757,8.06477,6.74679,8.26713,6.32167,4.56493,4.31567,8.01336,7.42226,5.67968,8.33224,11.4084,9.40055,12.314,6.3155,4.91121,8.53671,7.14259,11.9384,7.75728,10.1363,7.1048,7.0397,10.2616,9.41948,8.99474,8.11728,9.34214,7.09855,7.86762,13.4254,10.199677333333334,7.781086219612996
37892_at,5.7537,4.64723,11.5258,4.80556,10.3001,5.42901,9.69612,11.7441,9.08688,11.2598,9.76322,7.92775,8.51598,3.99338,9.17812,10.3705,6.60238,8.91143,10.4704,7.54461,11.0955,11.8386,4.20317,12.1543,5.78607,4.31896,4.817,11.7057,9.24238,5.47135,7.79753,9.69108,6.96408,12.0876,9.95339,7.01915,4.13257,7.83939,4.96347,11.0346,8.83813,11.4369,7.52045,4.83605,11.0038,7.20023,10.1496,11.1407,10.6304,3.74885,4.45082,8.15485,4.07611,5.02282,10.4845,10.683,4.87127,4.61102,7.61952,3.9729,3.83306,4.15985,3.99788,3.97227,4.28519,4.13191,4.10928,4.32481,4.14222,4.70517,4.1956,4.09746,4.50597,4.13505,4.01185,4.33398,3.72667,4.0128,3.82782,3.70298,3.95053,4.00207,3.89494,3.90497,4.08987,3.99199,4.0221,3.97681,3.9479,4.0236,4.44436,3.92284,4.07036,4.07555,4.05958,3.79748,4.32785,3.94123,4.0306,3.74297,3.82016,3.80304,3.89056,4.09624,3.95137,3.91082,3.92047,4.14999,4.10743,3.84854,4.05782,4.21203,3.80349,4.00944,3.96321,3.97562,3.94609,3.87107,3.853,3.9303,6.013699916666666,7.6999906738344475
211735_x_at,9.71986,14.8349,10.8238,14.1993,10.5935,13.9626,9.05045,7.08707,12.5171,8.06382,8.58082,14.1916,14.2988,14.8903,12.198,14.5437,12.5866,11.6021,7.79587,7.80411,11.4472,7.26452,14.8349,6.58381,13.1697,13.7946,6.45725,6.84221,14.015,12.5402,8.61035,10.132,14.0315,12.9952,13.8719,9.7413,13.7768,14.5437,14.242,7.73942,7.9136,9.0909,7.17375,7.26858,7.72287,9.65167,10.2258,14.25,13.8107,14.8349,14.2822,13.0925,13.2993,11.4063,6.98972,10.5544,8.68404,13.5369,10.1815,12.2402,14.7988,14.8903,14.564,14.4193,14.7988,14.7988,14.7988,14.7563,14.7988,14.5437,14.8349,14.8903,14.7168,14.7988,14.8349,14.7988,14.8349,14.7988,14.8903,14.8903,14.8349,14.8903,14.6542,14.7988,14.8903,14.8349,14.7988,14.8349,14.8903,14.8903,14.8903,14.8903,14.7563,14.7988,14.5893,14.7988,14.8349,14.8903,14.6542,14.8903,14.5893,9.52757,14.473,14.7988,14.8349,14.8903,14.5238,14.8903,14.8903,14.7988,14.8903,14.8903,14.564,14.7988,14.3261,14.8349,14.7563,14.7988,14.7988,7.09813,12.882739916666667,7.444540995227725
209480_at,4.38977,4.33157,10.7451,4.57605,4.32612,4.07017,4.31759,6.82101,4.62182,4.25147,4.23133,4.38571,8.70116,8.97319,9.2437,4.24247,4.37847,7.85442,8.67348,9.71495,6.33815,9.02405,11.4667,11.1339,9.78941,4.35302,4.154,9.70946,4.17068,4.37017,7.03368,4.36482,9.80415,8.75992,10.1895,11.1067,10.2039,10.063,4.49383,10.1235,8.07892,4.41645,4.38949,10.487,8.78705,4.33647,3.99014,8.15053,4.27375,4.69683,4.35668,4.21007,4.58703,4.20206,10.772,4.3958,10.1883,10.3413,7.1558,9.53023,4.43482,4.23921,10.641,4.12967,4.35309,4.36905,4.5374,8.60878,4.29666,4.09218,4.24433,4.29747,8.76295,8.50213,10.433,4.33911,4.61831,9.09982,8.63363,10.1794,8.87842,8.75157,11.5558,10.4976,9.09476,4.36383,4.13191,10.2299,4.93026,4.37153,9.98195,4.33932,9.74612,9.86224,11.3421,9.43432,9.65133,10.3236,4.69066,10.8071,11.4667,9.09173,4.27269,10.0523,8.8144,4.68598,4.78136,8.11955,4.45183,4.64682,4.15567,4.37689,4.27052,4.28112,9.64924,4.46265,9.21284,9.63424,8.72485,10.2031,7.066656666666668,7.339477449456023
